"Sequence","Auction Model","Memory (bytes)","Time (milliseconds)"
"168558973","English",-55063416,1078
"1335258450","English",8523008,1053
"699844873","English",-57047848,1215
"252134977","English",-51005768,1971
"1144012411","English",5731584,903
"487936817","English",-41253640,3779
"1046593191","English",9110408,2710
"812417859","English",11947616,5142
"428140944","Posted Offer",6378456,902
"1594762393","Posted Offer",7385680,1052
"850806814","Posted Offer",5706984,901
"1757070490","Posted Offer",5039320,752
"1208640368","Posted Offer",14440872,1959
"1321075586","Posted Offer",7433176,903
"1186220994","Posted Offer",6425488,753
"483947569","Posted Offer",11462056,1505
"1717445911","Posted Offer",13476464,1807
"1725551057","Posted Offer",5082384,603
"675519287","Posted Offer",12133256,1654
"759410942","Posted Offer",7096856,1204
"924388073","Posted Offer",1343072,301
"1572840420","Posted Offer",2030664,904
"927028538","Posted Offer",-51022400,4674
